url	primary language	files	sloc
https://github.com/claudiajs/claudia	JavaScript	237	8622
https://github.com/cowbell/sharedrop	JavaScript	84	4903
https://github.com/StackStorm/st2	Python	1576	85338
https://github.com/adobe-fonts/source-sans-pro	Makefile	6	198
https://github.com/gkz/LiveScript	LiveScript	24	22819
https://github.com/aol/moloch	JavaScript	390	75031
https://github.com/gernest/utron	Go	37	1950
https://github.com/tomahawk-player/tomahawk	C++	1213	374398
https://github.com/racket/racket	Racket	676	339590
https://github.com/checkstyle/checkstyle	Java	1593	215192
https://github.com/uber/deck.gl	JavaScript	378	69798
https://github.com/HaxeFoundation/haxe	Haxe	106	81601
https://github.com/be5invis/Iosevka	JavaScript	25	3518
https://github.com/melonjs/melonJS	CSS	263	113430
https://github.com/msysgit/msysgit	C	3281	547435
https://github.com/hummingbird-me/hummingbird	HTML	8	1451
https://github.com/kraih/mojo	Perl	32	563
https://github.com/Bukkit/Bukkit	Java	739	33205
https://github.com/bro/bro	Bro	660	112121
https://github.com/apache/groovy	Java	1553	171387
https://github.com/jch/html-pipeline	Ruby	43	2298
https://github.com/golang/lint	Go	42	2462
https://github.com/octokit/octokit.objc	Objective-C	205	9468
https://github.com/Reactive-Extensions/Rx.NET	C#	844	206735
https://github.com/MinecraftForge/MinecraftForge	Java	776	87672
https://github.com/libgit2/rugged	C	98	16379
https://github.com/jorgebastida/gordon	Python	276	14499
https://github.com/rubygems/rubygems	Ruby	331	45851
https://github.com/cuberite/cuberite	C++	986	181018
https://github.com/oclint/oclint	C++	273	21842
https://github.com/wooorm/alex	JavaScript	16	790
https://github.com/stevedekorte/io	C	1275	161008
https://github.com/moq/moq4	C#	219	25749
https://github.com/mhagger/git-imerge	Python	15	2115
https://github.com/googlevr/gvr-unity-sdk	C#	642	63890
https://github.com/optimizely/nuclear-js	JavaScript	229	71122
https://github.com/ravendb/ravendb	C#	6726	1354275
https://github.com/ReturnInfinity/BareMetal-OS	Assembly	59	8372
https://github.com/muan/mojibar	JavaScript	10	625
https://github.com/ninjaframework/ninja	Java	681	42885
https://github.com/urho3d/Urho3D	C++	4039	1260409
https://github.com/smcllns/css-social-buttons	CSS	17	2604
https://github.com/mysql/mysql-server	C++	10926	2759138
https://github.com/mixu/singlepageappbook	HTML	97	14364
https://github.com/Ranks/emojify.js	CSS	35	9520
https://github.com/ReactiveCocoa/ReactiveViewModel	Objective-C	19	527
https://github.com/idris-lang/Idris-dev	Haskell	803	87907
https://github.com/overviewer/Minecraft-Overviewer	Python	114	20386
https://github.com/arc90/git-sweep	Python	20	960
https://github.com/HumbleSoftware/envisionjs	JavaScript	542	88550
https://github.com/SiliconStudio/xenko	C#	5677	485520
https://github.com/caolan/jam	JavaScript	74	6152
https://github.com/Kozea/pygal	Python	334	52448
https://github.com/fsharp/fsharp	F#	1087	496227
https://github.com/Subash/Prepros	JavaScript	117	21058
https://github.com/nanoc/nanoc	Ruby	490	31208
https://github.com/LibreVR/Revive	C++	47	4360
https://github.com/muan/emoji	CSS	73	14708
https://github.com/ossec/ossec-hids	C	754	122096
https://github.com/facebook/Surround360	C++	120	17054
https://github.com/kartograph/kartograph.js	JavaScript	52	10967
https://github.com/zdevito/terra	C++	84	17506
https://github.com/musescore/MuseScore	C++	2924	2956310
https://github.com/angr/angr	Python	144	26274
https://github.com/kemalcr/kemal	Crystal	6	204
https://github.com/cloudera/oryx	Java	479	30938
https://github.com/flowplayer/flowplayer	JavaScript	97	8178
https://github.com/borismus/webvr-boilerplate	JavaScript	601	141463
https://github.com/a11yproject/a11yproject.com	HTML	56	3016
https://github.com/yaniswang/HTMLHint	JavaScript	79	3299
https://github.com/AtomicGameEngine/AtomicGameEngine	C	7601	2139396
https://github.com/thestonefox/VRTK	C#	245	41599
https://github.com/akavache/Akavache	C#	79	10779
https://github.com/SirCmpwn/TrueCraft	C#	519	47524
https://github.com/volojs/volo	JavaScript	110	14034
https://github.com/dlang/dmd	D	2663	393349
https://github.com/livereload/LiveReload	Objective-C	1986	167870
https://github.com/jMonkeyEngine/jmonkeyengine	Java	1952	821663
https://github.com/shogun-toolbox/shogun	C++	2494	295964
https://github.com/zedapp/zed	JavaScript	399	44871
https://github.com/web2py/web2py	Python	759	147695
https://github.com/red/red	Red	146	29116
https://github.com/gpmgo/gopm	Go	44	5559
https://github.com/larsenwork/Gidole	Shell	5	70
https://github.com/mozilla/MozDef	JavaScript	311	69589
https://github.com/xunit/xunit	C#	557	43727
https://github.com/github-archive/developer.github.com	Ruby	383	26865
https://github.com/jasonlong/isometric-contributions	CSS	20	1869
