url	primary language	stars	forks
https://github.com/mudcube/MIDI.js	JavaScript	2110	399
https://github.com/Gamua/Starling-Framework	ActionScript	2075	870
https://github.com/AnalyticalGraphicsInc/cesium	JavaScript	2074	992
https://github.com/gameplay3d/GamePlay	C++	2071	951
https://github.com/klange/toaruos	C	2029	242
https://github.com/openstack/openstack		2024	1084
https://github.com/OctoLinker/browser-extension	JavaScript	2018	140
https://github.com/samaaron/sonic-pi	Ruby	2018	332
https://github.com/csscomb/csscomb.js	JavaScript	1993	284
https://github.com/Netflix/Scumblr	Ruby	1988	232
https://github.com/timburks/nu	Objective-C	1962	243
https://github.com/Quick/Nimble	Swift	1947	262
https://github.com/Glimpse/Glimpse	C#	1931	427
https://github.com/MovingBlocks/Terasology	Java	1922	855
https://github.com/google/grr	Python	1922	340
https://github.com/okfn/recline	JavaScript	1921	312
https://github.com/twostraws/HackingWithSwift	Swift	1879	982
https://github.com/claudiajs/claudia	JavaScript	1877	109
https://github.com/cowbell/sharedrop	JavaScript	1874	157
https://github.com/StackStorm/st2	Python	1865	235
https://github.com/adobe-fonts/source-sans-pro	Makefile	1860	139
https://github.com/gkz/LiveScript	LiveScript	1854	146
https://github.com/aol/moloch	JavaScript	1846	387
https://github.com/gernest/utron	Go	1839	105
https://github.com/tomahawk-player/tomahawk	C++	1839	308
https://github.com/racket/racket	Racket	1837	332
https://github.com/checkstyle/checkstyle	Java	1817	846
https://github.com/uber/deck.gl	JavaScript	1812	148
https://github.com/HaxeFoundation/haxe	Haxe	1808	354
https://github.com/be5invis/Iosevka	JavaScript	1807	66
https://github.com/melonjs/melonJS	CSS	1807	406
https://github.com/msysgit/msysgit	C	1799	599
https://github.com/hummingbird-me/hummingbird	HTML	1795	241
https://github.com/kraih/mojo	Perl	1795	436
https://github.com/Bukkit/Bukkit	Java	1795	1109
https://github.com/bro/bro	Bro	1783	481
https://github.com/apache/groovy	Java	1774	685
https://github.com/jch/html-pipeline	Ruby	1767	249
https://github.com/golang/lint	Go	1762	193
https://github.com/octokit/octokit.objc	Objective-C	1762	347
https://github.com/Reactive-Extensions/Rx.NET	C#	1761	286
https://github.com/MinecraftForge/MinecraftForge	Java	1748	878
https://github.com/libgit2/rugged	C	1747	233
https://github.com/jorgebastida/gordon	Python	1746	115
https://github.com/rubygems/rubygems	Ruby	1738	886
https://github.com/cuberite/cuberite	C++	1726	376
https://github.com/oclint/oclint	C++	1714	224
https://github.com/wooorm/alex	JavaScript	1706	87
https://github.com/stevedekorte/io	C	1702	246
https://github.com/moq/moq4	C#	1677	393
https://github.com/mhagger/git-imerge	Python	1668	94
https://github.com/googlevr/gvr-unity-sdk	C#	1667	758
https://github.com/optimizely/nuclear-js	JavaScript	1654	121
https://github.com/ravendb/ravendb	C#	1642	645
https://github.com/ReturnInfinity/BareMetal-OS	Assembly	1637	299
https://github.com/muan/mojibar	JavaScript	1631	120
https://github.com/ninjaframework/ninja	Java	1630	462
https://github.com/urho3d/Urho3D	C++	1628	489
https://github.com/smcllns/css-social-buttons	CSS	1624	296
https://github.com/mysql/mysql-server	C++	1615	682
https://github.com/mixu/singlepageappbook	HTML	1605	182
https://github.com/Ranks/emojify.js	CSS	1603	235
https://github.com/ReactiveCocoa/ReactiveViewModel	Objective-C	1598	213
https://github.com/idris-lang/Idris-dev	Haskell	1597	418
https://github.com/overviewer/Minecraft-Overviewer	Python	1584	280
https://github.com/arc90/git-sweep	Python	1557	100
https://github.com/HumbleSoftware/envisionjs	JavaScript	1549	253
https://github.com/SiliconStudio/xenko	C#	1538	398
https://github.com/caolan/jam	JavaScript	1535	109
https://github.com/Kozea/pygal	Python	1530	297
https://github.com/fsharp/fsharp	F#	1519	277
https://github.com/Subash/Prepros	JavaScript	1517	165
https://github.com/nanoc/nanoc	Ruby	1517	210
https://github.com/LibreVR/Revive	C++	1511	186
https://github.com/muan/emoji	CSS	1487	458
https://github.com/ossec/ossec-hids	C	1485	478
https://github.com/facebook/Surround360	C++	1482	395
https://github.com/kartograph/kartograph.js	JavaScript	1473	234
https://github.com/zdevito/terra	C++	1447	110
https://github.com/musescore/MuseScore	C++	1439	689
https://github.com/angr/angr	Python	1427	246
https://github.com/kemalcr/kemal	Crystal	1423	84
https://github.com/cloudera/oryx	Java	1414	409
https://github.com/flowplayer/flowplayer	JavaScript	1410	374
https://github.com/borismus/webvr-boilerplate	JavaScript	1404	360
https://github.com/a11yproject/a11yproject.com	HTML	1396	225
https://github.com/yaniswang/HTMLHint	JavaScript	1396	168
https://github.com/AtomicGameEngine/AtomicGameEngine	C	1384	272
https://github.com/thestonefox/VRTK	C#	1384	368
https://github.com/akavache/Akavache	C#	1372	230
https://github.com/SirCmpwn/TrueCraft	C#	1369	153
https://github.com/volojs/volo	JavaScript	1369	100
https://github.com/dlang/dmd	D	1360	400
https://github.com/livereload/LiveReload	Objective-C	1360	160
https://github.com/jMonkeyEngine/jmonkeyengine	Java	1357	505
https://github.com/shogun-toolbox/shogun	C++	1344	701
https://github.com/zedapp/zed	JavaScript	1341	140
https://github.com/web2py/web2py	Python	1340	671
https://github.com/red/red	Red	1337	176
https://github.com/gpmgo/gopm	Go	1324	115
https://github.com/larsenwork/Gidole	Shell	1319	51
https://github.com/mozilla/MozDef	JavaScript	1297	192
https://github.com/xunit/xunit	C#	1292	369
https://github.com/github-archive/developer.github.com	Ruby	1288	1336
https://github.com/jasonlong/isometric-contributions	CSS	1275	66
https://github.com/googlevr/vrview	JavaScript	1273	636
https://github.com/oreillymedia/open_government		1267	216
https://github.com/sindresorhus/refined-github	JavaScript	1253	117
https://github.com/flexiblegs/flexiblegs-scss-plus	CSS	1247	129
https://github.com/mentum/lambdaws	JavaScript	1242	38
https://github.com/octokit/octokit.net	C#	1222	640
https://github.com/Hextris/hextris	JavaScript	1216	428
https://github.com/astropy/astropy	Python	1212	681
https://github.com/Yelp/osxcollector	Python	1210	133
https://github.com/GarageGames/Torque2D	C++	1205	1469
https://github.com/ocaml/ocaml	OCaml	1195	346
https://github.com/mikeizbicki/HLearn	Haskell	1193	115
https://github.com/pre-commit/pre-commit	Python	1192	99
https://github.com/GoogleChrome/accessibility-developer-tools	JavaScript	1188	171
https://github.com/coala/coala	Python	1185	553
https://github.com/petdance/ack2	Perl	1168	131
https://github.com/Caliburn-Micro/Caliburn.Micro	C#	1168	430
https://github.com/PocketMine/PocketMine-MP	PHP	1168	697
https://github.com/github/Rebel	Objective-C	1166	116
https://github.com/libgit2/libgit2sharp	C#	1160	472
https://github.com/superpowers/superpowers-core	TypeScript	1158	100
https://github.com/streamio/streamio-ffmpeg	Ruby	1151	330
https://github.com/Netflix/vizceral	JavaScript	1149	84
https://github.com/goadapp/goad	Go	1148	75
https://github.com/reactjs/react-a11y	JavaScript	1147	73
https://github.com/HoTT/book	TeX	1138	244
https://github.com/nprapps/app-template	JavaScript	1131	173
https://github.com/codahale/bcrypt-ruby	C	1124	163
https://github.com/spring/spring	C++	1114	453
https://github.com/WhiteHouse/petitions	JavaScript	1109	335
https://github.com/adobe-fonts/source-serif-pro	Shell	1099	91
https://github.com/walterhiggins/ScriptCraft	JavaScript	1088	274
https://github.com/ellisonleao/clumsy-bird	JavaScript	1065	733
https://github.com/apache/mahout	Java	1062	753
https://github.com/shakiba/stage.js	JavaScript	1060	152
https://github.com/GooTechnologies/goojs	JavaScript	1058	111
https://github.com/icsharpcode/SharpDevelop	C#	1052	408
https://github.com/threatstream/mhn	Shell	1045	270
https://github.com/eholk/harlan	Scheme	1042	86
https://github.com/dart-lang/sdk	Dart	1039	170
https://github.com/stephenhutchings/typicons.font	HTML	1021	140
https://github.com/SeldonIO/seldon-server	Java	1013	206
https://github.com/dojo/dojo	JavaScript	1005	465
https://github.com/openaddresses/openaddresses	JavaScript	990	624
https://github.com/addyosmani/a11y	JavaScript	985	51
https://github.com/parkerbennett/stackicons	CSS	963	124
https://github.com/sk89q/WorldEdit	Java	952	501
https://github.com/metabrainz/picard	Python	949	179
https://github.com/andreasgal/B2G	Shell	946	161
https://github.com/wet-boew/wet-boew	HTML	945	524
https://github.com/seriesseed/equity		931	211
https://github.com/GSA/data.gov	PHP	923	254
https://github.com/FascinatedBox/lily	C	921	37
https://github.com/gamelinux/passivedns	C	915	249
https://github.com/Keyamoon/IcoMoon-Free	HTML	915	166
https://github.com/spmjs/spm	JavaScript	903	194
https://github.com/charliesome/jsos	C	903	167
https://github.com/iamcal/php-emoji	PHP	899	219
https://github.com/nikolaypavlov/MLPNeuralNet	Objective-C	898	240
https://github.com/KnightOS/KnightOS	Assembly	897	186
https://github.com/libgit2/objective-git	Objective-C	893	212
https://github.com/atom/apm	CoffeeScript	889	191
https://github.com/twitter/innovators-patent-agreement		882	124
https://github.com/gamelab/kiwi.js	JavaScript	878	193
https://github.com/Squirrel/Squirrel.Mac	Objective-C	873	51
https://github.com/simbody/simbody	C++	868	256
https://github.com/sleuthkit/sleuthkit	C	867	274
https://github.com/Microsoft/microsoft.github.io	HTML	860	300
https://github.com/usds/playbook	CSS	857	259
https://github.com/mozilla/mig	Go	850	162
https://github.com/datumbox/datumbox-framework	Java	844	236
https://github.com/medialize/ally.js	JavaScript	835	40
https://github.com/pybuilder/pybuilder	Python	835	169
https://github.com/rakudo/rakudo	Perl6	833	276
https://github.com/clutchski/coffeelint	CoffeeScript	824	160
https://github.com/pengwynn/flint	Go	822	101
https://github.com/Komodo/KomodoEdit	Python	820	189
https://github.com/etsy/MIDAS		815	136
https://github.com/Justineo/github-hovercard	JavaScript	812	46
https://github.com/swannodette/logic-tutorial	Clojure	811	71
https://github.com/pfefferle/openwebicons	HTML	804	161
https://github.com/mrowa44/emojify	Shell	801	35
https://github.com/pa11y/pa11y	JavaScript	790	62
https://github.com/nasa/mct	Java	780	256
https://github.com/CarlosGS/Cyclone-PCB-Factory	Python	776	286
https://github.com/mislav/rfc	JavaScript	774	52
https://github.com/MfgLabs/mfglabs-iconset	CSS	770	80
https://github.com/thenewstack/docker-and-containers-ebooks		769	80
https://github.com/voxmedia/meme	JavaScript	769	256
https://github.com/nsubstitute/NSubstitute	C#	767	162
https://github.com/theleagueof/league-gothic	CSS	766	89
https://github.com/amber-smalltalk/amber		762	131
